index_name,unit,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,"2012-13
(RE)","2013-14
(BE)"
Chhattisgarh ,Percentage(%),37.7,44.2,47.6,46.2,50.1,54.2,50.2,51.6,51,53.6
Meghalaya ,Percentage(%),35.8,38.2,37.6,37.5,35.7,36.6,36.7,39.4,41.6,46.5
Bihar ,Percentage(%),30.5,38.4,41,43.8,43.9,41.8,38.2,40,44.6,45
Jharkhand ,Percentage(%),44.1,45.9,47,43.5,47.8,44.2,46.4,41.2,44.8,43.9
Rajasthan ,Percentage(%),34.1,40.1,39.5,38.9,45.2,44.3,42.4,42.6,42.2,43.3
Maharashtra ,Percentage(%),28.1,35.3,37.3,37,36.8,40.3,41.4,41.1,43,43.2
West Bengal ,Percentage(%),29.1,28.2,31.9,34.7,31.9,40.7,41.9,42.5,42.8,43
Haryana ,Percentage(%),24.2,32,28.5,33.3,37.2,41,39.6,40.9,40,42.1
Karnataka ,Percentage(%),28.5,33.4,32.7,36.7,37.8,39.9,39.9,37.8,41.1,42.1
Andhra Pradesh ,Percentage(%),29.3,30.8,32.9,32.7,38.9,35.6,38.9,39.2,40.6,41.8
Uttarakhand ,Percentage(%),36.6,36.3,37.9,37.4,38.4,42.3,42.5,45.5,41.2,41.7
Madhya Pradesh ,Percentage(%),24.7,32.5,35.3,35.7,36.7,35.2,39,33.6,41.8,41.6
Odisha ,Percentage(%),28.9,34.2,31.7,35.9,41.6,41,42.3,42.9,41.5,39.9
Uttar Pradesh ,Percentage(%),28.6,33.7,32.1,34.4,37.8,39,37.7,38.8,40.3,39.6
Gujarat ,Percentage(%),29,32.1,33.4,34.9,35,38.4,39.9,38.2,39,39.1
Tripura ,Percentage(%),37.6,34,36.5,36.5,37.2,37.9,38.4,41.7,44.2,38
Tamil Nadu ,Percentage(%),32.6,36.9,33.1,35.9,39.7,40.3,40.2,38.3,38.9,37.9
Assam ,Percentage(%),32.4,36.8,38.7,40,38.7,36.7,39.5,37,38.4,37
Goa ,Percentage(%),31.4,30.9,31.8,31.6,32.2,32.5,33.5,33.1,34.9,36.4
Himachal Pradesh ,Percentage(%),29,32.7,33,35.2,36.6,35,37.3,34.6,35.5,35.9
Kerala ,Percentage(%),36.2,35.6,31,31.4,33.4,33.6,33.4,34.8,34.7,35.7
Sikkim ,Percentage(%),22.2,23.3,24.3,23.5,27.4,28.8,30.9,36.8,35.4,35.2
Punjab ,Percentage(%),17.8,19.8,17.9,18.8,23.8,22.7,22.5,27.1,32.6,32.2
Mizoram ,Percentage(%),35.6,33.3,34.8,36.7,40.1,41.5,38.6,36.6,38,30.3
Nagaland ,Percentage(%),27.6,28.6,29.6,29.5,28.3,25.9,28.3,24.9,28.6,28.9
Manipur ,Percentage(%),33.6,34.2,28.7,31.7,32.9,32.5,31.6,29.4,30.9,27
Jammu and Kashmir ,Percentage(%),27.9,29.9,31.3,30,29.9,30.6,29.1,29.3,27,25.8
Arunachal Pradesh ,Percentage(%),31.2,30.4,30.2,31.1,29.9,33.7,28.1,32.4,26.9,20.8
All States ,Percentage(%),29.6,33.7,33.9,35.3,37.6,38.7,39,38.7,40.4,40.5
NCT Delhi ,Percentage(%),33.1,41,39.6,40.5,43.8,42.2,42.4,50,48.3,46.7
Puducherry ,Percentage(%),NA ,36.7,34.7,35.8,35.9,38.1,38.3,45.9,39.8,36.1
